tpp_table,ehrql_format
openprompt,open_prompt
icnarc,icnarc
isaric_new,isaric_new
highcostdrugs,highcostdrugs
cpns,cpns
ecds,ecds
ecds_ec_diagnoses,ecds_ec_diagnoses
healthcareworker,occupation_on_covid_vaccine_record
mpi,mpi
uprn,uprn
sgss_alltests_negative,sgss_covid_all_tests
sgss_alltests_positive,sgss_covid_all_tests
sgss_negative,sgss_covid_all_tests
sgss_positive,sgss_covid_all_tests
therapeutics,covid_therapeutics
wl_clockstops,wl_clockstops
wl_diagnostics,wl_diagnostics
wl_openpathways,wl_openpathways
ukrr,ukrr
