Table,Eligible under new direction? (NHSE)
openprompt,no
icnarc,no
isaric_new,no
highcostdrugs,no
apcs,yes
apcs_cost,yes
apcs_der,yes
cpns,no
ec,yes
ec_alcoholdruginvolvement,yes
ec_comorbidities,yes
ec_cost,yes
ec_diagnosis,yes
ec_investigation,yes
ec_patientmentalhealth,yes
ec_treatment,yes
ecds,no
ecds_ec_diagnoses,no
healthcareworker,no
mpi,no
uprn,no
opa,yes
opa_cost,yes
opa_diag,yes
opa_proc,yes
sgss_alltests_negative,no
sgss_alltests_positive,no
sgss_negative,no
sgss_positive,no
therapeutics,no
wl_clockstops,no
wl_diagnostics,no
wl_openpathways,no
ons_deaths,yes
buildinfo,yes
codecountindicator,yes
latestbuildtime,yes
opensafelyschemainformation,yes
household,yes
householdmember,yes
msoa_populationestimates_2019,yes
potentialcarehomeaddress,yes
apcs_archived,-
apcs_archived_old,-
apcs_cost_archived,-
apcs_cost_archived_old,-
apcs_cost_jrc20231009_lastfilestocontainallhistoricalcostdata,-
apcs_der_archived,-
apcs_der_archived_old,-
apcs_der_jrc20231009_lastfilestocontainallhistoricalcostdata,-
apcs_jrc20231009_lastfilestocontainallhistoricalcostdata,-
allowedpatientswithtypeonedissent,yes
buildprogress,yes
clusterrandomisedtrial,presumably
clusterrandomisedtrialdetail,presumably
clusterrandomisedtrialreference,presumably
codedevent_snomed,yes
decisionsupportvalue,yes
decisionsupportvaluereference,yes
ec_archived,-
ec_archived_old,-
ec_alcoholdruginvolvement_archived,-
ec_alcoholdruginvolvement_archived_old,-
ec_alcoholdruginvolvement_jrc20231023_lastfilestocontainallhistoricalcostdata,-
ec_comorbidities_archived,-
ec_comorbidities_archived_old,-
ec_comorbidities_jrc20231023_lastfilestocontainallhistoricalcostdata,-
ec_cost_archived,-
ec_cost_archived_old,-
ec_cost_jrc20231023_lastfilestocontainallhistoricalcostdata,-
ec_diagnosis_archived,-
ec_diagnosis_archived_old,-
ec_diagnosis_jrc20231023_lastfilestocontainallhistoricalcostdata,-
ec_investigation_archived,-
ec_investigation_archived_old,-
ec_investigation_jrc20231023_lastfilestocontainallhistoricalcostdata,-
ec_jrc20231023_lastfilestocontainallhistoricalcostdata,-
ec_patientmentalhealth_archived,-
ec_patientmentalhealth_archived_old,-
ec_patientmentalhealth_jrc20231023_lastfilestocontainallhistoricalcostdata,-
ec_treatment_archived,-
ec_treatment_archived_old,-
ec_treatment_jrc20231023_lastfilestocontainallhistoricalcostdata,-
isaric_patient_data,-
isaric_patient_data_topline,-
opa_archived,-
opa_archived_old,-
opa_cost_archived,-
opa_cost_archived_old,-
opa_cost_jrc20231009_lastfilestocontainallhistoricalcostdata,-
opa_diag_archived,-
opa_diag_archived_old,-
opa_diag_jrc20231009_lastfilestocontainallhistoricalcostdata,-
opa_jrc20231009_lastfilestocontainallhistoricalcostdata,-
opa_proc_archived,-
opa_proc_archived_old,-
opa_proc_jrc20231009_lastfilestocontainallhistoricalcostdata,-
appointment,yes
ctv3dictionary,yes
ctv3hierarchy,yes
codedevent,yes
codedeventrange,yes
consultation,yes
datadictionary,yes
icd10dictionary,yes
medicationdictionary,yes
medicationissue,yes
medicationrepeat,yes
medicationsensitivity,yes
organisation,yes
patient,yes
patientaddress,yes
patientswithtypeonedissent,yes
qofclusterreference,yes
registrationhistory,yes
relationship,yes
unitdictionary,yes
vaccination,yes
vaccinationreference,yes
ycodetosnomedmapping,yes
ukrr,no
,
,
,
,
